0:0:0:0:0:0:0:1 - - [18/Sep/2018:19:05:06 -0300] "GET /tcc/imagens/logo/coliseu2.png HTTP/1.1" 200 39305
0:0:0:0:0:0:0:1 - - [18/Sep/2018:19:05:06 -0300] "GET /tcc/imagens/icones/cadastro.png HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [18/Sep/2018:19:05:06 -0300] "GET /tcc/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [18/Sep/2018:19:05:06 -0300] "GET /tcc/imagens/icones/salas.png HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [18/Sep/2018:19:05:06 -0300] "GET /tcc/imagens/icones/forum.png HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [18/Sep/2018:19:05:06 -0300] "GET /tcc/imagens/carousel/lol.jpg HTTP/1.1" 200 543871
0:0:0:0:0:0:0:1 - - [18/Sep/2018:19:05:06 -0300] "GET /tcc/imagens/carousel/fortnite.jpg HTTP/1.1" 200 251137
0:0:0:0:0:0:0:1 - - [18/Sep/2018:19:05:06 -0300] "GET /tcc/imagens/carousel/PUBG.png HTTP/1.1" 200 681290
0:0:0:0:0:0:0:1 - - [18/Sep/2018:19:05:07 -0300] "GET /tcc/css/padrao.css HTTP/1.1" 200 1556
0:0:0:0:0:0:0:1 - - [18/Sep/2018:19:05:07 -0300] "GET /tcc/imagens/quemsomos/Ddfpf3LUQAE3Mo6.jpg HTTP/1.1" 200 17705
0:0:0:0:0:0:0:1 - - [18/Sep/2018:19:05:07 -0300] "GET /tcc/imagens/quemsomos/amigos-2b-3.jpg HTTP/1.1" 200 30262
0:0:0:0:0:0:0:1 - - [18/Sep/2018:19:05:07 -0300] "GET /tcc/imagens/quemsomos/jogos.jpg HTTP/1.1" 200 181537
